 1.000000  0.000000
 0.989679  0.003845
 0.977855  0.008131
 0.963880  0.013466
 0.947304  0.020108
 0.927864  0.028055
 0.905465  0.037136
 0.880166  0.047076
 0.852145  0.057553
 0.821683  0.068239
 0.789128  0.078824
 0.754875  0.089039
 0.719341  0.098660
 0.682945  0.107511
 0.646092  0.115464
 0.609158  0.122434
 0.572484  0.128369
 0.536368  0.133249
 0.501061  0.137075
 0.466773  0.139868
 0.433665  0.141662
 0.401863  0.142498
 0.371452  0.142428
 0.342490  0.141508
 0.315006  0.139798
 0.289008  0.137360
 0.264486  0.134261
 0.241418  0.130568
 0.219771  0.126351
 0.199505  0.121679
 0.180575  0.116621
 0.162933  0.111248
 0.146530  0.105627
 0.131315  0.099822
 0.117237  0.093897
 0.104244  0.087910
 0.092288  0.081917
 0.081317  0.075967
 0.071284  0.070106
 0.062140  0.064374
 0.053837  0.058806
 0.046328  0.053431
 0.039569  0.048274
 0.033513  0.043353
 0.028116  0.038685
 0.023336  0.034278
 0.019130  0.030140
 0.015457  0.026273
 0.012278  0.022676
 0.009555  0.019347
 0.007250  0.016280
 0.005328  0.013467
 0.003756  0.010899
 0.002502  0.008565
 0.001536  0.006455
 0.000828  0.004556
 0.000353  0.002856
 0.000085  0.001341
 0.000000  0.000000
 0.000000  0.000000
 0.000028 -0.000375
 0.000118 -0.000753
 0.000278 -0.001134
 0.000518 -0.001519
 0.000849 -0.001911
 0.001282 -0.002310
 0.001832 -0.002717
 0.002511 -0.003132
 0.003335 -0.003558
 0.004322 -0.003992
 0.005490 -0.004433
 0.006859 -0.004880
 0.008453 -0.005326
 0.010295 -0.005765
 0.012414 -0.006188
 0.014840 -0.006582
 0.017605 -0.006930
 0.020749 -0.007213
 0.024310 -0.007407
 0.028337 -0.007483
 0.032879 -0.007409
 0.037994 -0.007148
 0.043745 -0.006663
 0.050202 -0.005914
 0.057442 -0.004861
 0.065550 -0.003467
 0.074620 -0.001703
 0.084751  0.000455
 0.096051  0.003017
 0.108634  0.005975
 0.122616  0.009304
 0.138116  0.012954
 0.155252  0.016853
 0.174135  0.020898
 0.194867  0.024963
 0.217532  0.028900
 0.242192  0.032542
 0.268878  0.035712
 0.297585  0.038234
 0.328264  0.039946
 0.360819  0.040714
 0.395104  0.040442
 0.430916  0.039094
 0.468009  0.036697
 0.506091  0.033348
 0.544841  0.029219
 0.583927  0.024543
 0.623023  0.019600
 0.661836  0.014693
 0.700138  0.010121
 0.737789  0.006140
 0.774769  0.002939
 0.811198  0.000610
 0.847352 -0.000853
 0.883666 -0.001544
 0.920727 -0.001599
 0.959243 -0.001109
 1.000000  0.000000
